X1,id,X,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,free.park_agg,paid.park_agg,pool_agg,kitchen_agg,stove_agg,oven_agg,linen_agg,tv_agg,sound_agg,chair_agg,refri_agg,air condi_agg,heat_agg,storage_agg,coffee_agg,breakfast_agg,workspace_agg,dish_agg,soap_agg,dryer_agg,wifi_agg,laundr|washer_agg,shampoo_agg,sauna_agg,tub_agg,toiletries_agg,restaurant_agg,bar_agg,Amazon Prime Video,BBQ grill,Beachfront,Bidet,Building staff,Carbon monoxide alarm,Cleaning before checkout,Cooking basics,Elevator,Essentials,Ethernet connection,Extra pillows and blankets,Fire extinguisher,First aid kit,frascos recicl\u00e1veis e extratos adquiridos de pequenos agricultores brasileiros. Al\u00e9m dos extratos da agricultura familiar,Free residential garage on premises,Free residential garage on premises \u2013 1 space,Free residential garage on premises \u2013 2 spaces,Free residential garage on premises \u2013 3 spaces,Free street parking,Garden or backyard,Gym,Hangers,Host greets you,Hot water,Iron,Lock on bedroom door,Long term stays allowed,Luggage dropoff allowed,Microwave,Mini fridge,Paid street parking off premises,Paid street parking off premises \u2013 BRL70 per day,Paid valet parking on premises,Paid valet parking on premises \u2013 1 space,Patio or balcony,Private entrance,Room-darkening shades,Smoke alarm
101,215878,101,100,100,0,4,1,1,Private room in apartment,Private room,2,1,1,1,266,2,31,99,10,10,10,10,10,10,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
102,215887,102,100,100,0,4,1,1,Private room in apartment,Private room,2,1,1,2,414,2,32,97,10,10,10,10,10,9,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,220705,107,100,50,0,2,1,1,Private room in apartment,Private room,2,2.5,1,2,300,3,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
108,221379,108,100,46,1,4,1,1,Entire condominium,Entire home/apt,4,2.5,2,3,518,4,25,92,10,10,10,10,8,9,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
111,230989,111,100,75,0,4,1,1,Entire apartment,Entire home/apt,2,1,1,0,421,2,102,90,10,10,10,10,10,9,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,231497,113,100,75,0,4,1,1,Entire apartment,Entire home/apt,4,NA,1,1,443,2,52,95,10,10,10,10,10,9,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,231516,114,100,75,0,4,1,1,Entire apartment,Entire home/apt,4,NA,1,1,350,2,30,94,9,9,10,10,10,9,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,236991,115,100,100,0,1,1,1,Entire apartment,Entire home/apt,4,1,1,4,254,5,20,95,10,9,10,10,10,9,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,238802,116,100,99,1,5,1,1,Entire apartment,Entire home/apt,6,1,2,3,3086,2,41,93,10,10,10,10,9,9,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1
117,239531,117,100,95,0,10,1,1,Entire apartment,Entire home/apt,4,1,1,1,299,2,85,92,9,9,10,10,10,9,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0
